time_s,sensor_id,x_m,y_m,exx,eyy,exy,exx_plus_eyy,eps_axis,eps_impact_dir
0.000000000000000000e+00,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.981684981684981708e-06,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.981684981684981708e-06,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-5.610956792282872096e-30,-3.667384751020502962e-30,-9.385004233376117821e-30,-9.278341543303374358e-30,-5.610956792282872096e-30,-1.398266390115323042e-29
4.981684981684981708e-06,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.981684981684981708e-06,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.963369963369963416e-06,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-1.770455577890307798e-81,-2.615374200984979175e-83,-6.948183652245880847e-82,-1.796609319900157476e-81,-1.770455577890307798e-81,-1.998729918970466722e-81
9.963369963369963416e-06,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-1.665182166723823797e-14,-1.379366368165060498e-14,-3.111312279354924977e-14,-3.044548534888884137e-14,-1.665182166723823797e-14,-4.576744005613435480e-14
9.963369963369963416e-06,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-8.043612307512063368e-117,-3.401660908312017515e-117,-1.113178066363946410e-116,-1.144527321582408088e-116,-8.043612307512063368e-117,-1.708595947767930873e-116
9.963369963369963416e-06,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,-5.770670642619899720e-54,-9.146642996270557184e-53,-6.592983964993328607e-53,-9.723710060532547504e-53,-5.770670642619899720e-54,-1.258457231441595354e-52
1.494505494505494512e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-2.299897329212251482e-45,-5.554914506310297564e-47,-1.131644572739291814e-45,-2.355446474275354370e-45,-2.299897329212251482e-45,-2.709697979560349231e-45
1.494505494505494512e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-9.609787862941141318e-10,-9.123334747186403704e-10,-1.967642220869294864e-09,-1.873312261012754606e-09,-9.609787862941141318e-10,-2.852475477887692753e-09
1.494505494505494512e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-7.621925279987772286e-80,-4.794397122827324722e-80,-1.236904019670567962e-79,-1.241632240281509701e-79,-7.621925279987772286e-80,-1.855445301732929270e-79
1.494505494505494512e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,-1.095943505706825030e-30,-4.329172397250372271e-30,-5.215302368358505470e-30,-5.425115902957197301e-30,-1.095943505706825030e-30,-7.593158754108423213e-30
1.992673992673992683e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-6.538900435296397260e-26,-4.287293993468248522e-27,-5.003564246755234848e-26,-6.967629834643221754e-26,-6.538900435296397260e-26,-8.593798797792433209e-26
1.992673992673992683e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-1.200137932808537331e-09,-1.159520153255842644e-09,-2.484027922573001121e-09,-2.359658086064380182e-09,-1.200137932808537331e-09,-3.595935071513545361e-09
1.992673992673992683e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-2.218677807127614053e-56,-1.590122348515981393e-56,-3.813072460669018804e-56,-3.808800155643595446e-56,-2.218677807127614053e-56,-5.681247594752207427e-56
1.992673992673992683e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,-2.105680639828187539e-18,-4.715345617242546128e-18,-6.776344756744900198e-18,-6.821026257070733667e-18,-2.105680639828187539e-18,-9.200665676082059982e-18
2.490842490842490854e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-1.163773984033704603e-15,-3.149213009784321287e-16,-1.464697244389405704e-15,-1.478695285012136830e-15,-1.163773984033704603e-15,-1.825185918301821819e-15
2.490842490842490854e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,1.900859752184819964e-10,2.907898027421245902e-10,-1.411806999481666897e-09,4.808757779606065866e-10,1.900859752184819964e-10,-1.142092401631646921e-09
2.490842490842490854e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-1.232941628824902864e-39,-9.470128789271251970e-40,-2.187698269823764996e-39,-2.179954507752028225e-39,-1.232941628824902864e-39,-3.247916133452332662e-39
2.490842490842490854e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,-1.204083080954280726e-11,-2.131021046616387070e-11,-3.378548568238184984e-11,-3.335104127570667797e-11,-1.204083080954280726e-11,-4.424769801237111112e-11
2.989010989010989025e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-1.933838223153845593e-10,-8.511170150709554942e-11,-2.843664444305941008e-10,-2.784955238224801087e-10,-1.933838223153845593e-10,-3.253968175609520153e-10
2.989010989010989025e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,4.396955985803051429e-10,3.912143680345185314e-10,-1.014033812723417428e-08,8.309099666148236743e-10,4.396955985803051429e-10,-9.421861128320904254e-09
2.989010989010989025e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-2.540555363335589039e-27,-2.039518472652998037e-27,-4.605132002428137800e-27,-4.580073835988586718e-27,-2.540555363335589039e-27,-6.820406882010077584e-27
