time_s,z_m,ux,uy,uz
0.000000000000000000e+00,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-7.500000000000000156e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-2.500000000000000052e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000052e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.500000000000000156e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.981684981684981708e-06,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.398181236768611125e-06
4.981684981684981708e-06,-7.500000000000000156e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.812101840278130770e-06
4.981684981684981708e-06,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.413594438604681838e-06
4.981684981684981708e-06,-2.500000000000000052e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.154458481134116204e-06
4.981684981684981708e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.881695724177539724e-07
4.981684981684981708e-06,2.500000000000000052e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.848586919274842028e-07
4.981684981684981708e-06,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.244149529702650431e-07
4.981684981684981708e-06,7.500000000000000156e-04,0.000000000000000000e+00,0.000000000000000000e+00,7.936732246396671928e-07
4.981684981684981708e-06,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.795410699141458203e-07
9.963369963369963416e-06,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.781889261940151141e-06
9.963369963369963416e-06,-7.500000000000000156e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.870030455019033166e-06
9.963369963369963416e-06,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.567967779889127095e-06
9.963369963369963416e-06,-2.500000000000000052e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.718636258925397091e-06
9.963369963369963416e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.169542594115370743e-06
9.963369963369963416e-06,2.500000000000000052e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.822512799677820947e-06
9.963369963369963416e-06,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.614483256331007039e-06
9.963369963369963416e-06,7.500000000000000156e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.504337046351574130e-06
9.963369963369963416e-06,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.452517231751194043e-06
1.494505494505494512e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.663611657698657045e-05
1.494505494505494512e-05,-7.500000000000000156e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.354528599084921399e-05
