time_s,sensor_id,x_m,y_m,exx,eyy,exy,exx_plus_eyy,eps_axis,eps_impact_dir
0.000000000000000000e+00,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.025773195876289128e-06,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.025773195876289128e-06,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.025773195876289128e-06,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.025773195876289128e-06,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.005154639175257826e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.005154639175257826e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-1.140038186890793304e-15,-9.112705287870786498e-16,-2.084772437352797478e-15,-2.051308715677872151e-15,-1.140038186890793304e-15,-3.076815275873809227e-15
1.005154639175257826e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.005154639175257826e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.507731958762886569e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.507731958762886569e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-9.529463577384855378e-10,-9.244154753597621520e-10,-1.980115285189304387e-09,-1.877361833098247897e-09,-9.529463577384855378e-10,-2.864190730828799360e-09
1.507731958762886569e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.507731958762886569e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,-8.610433512343849337e-41,-9.779842052882562536e-40,-8.041205128967592344e-40,-1.064088540411694829e-39,-8.610433512343849337e-41,-1.420837878065719729e-39
2.010309278350515651e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-6.913850763964899116e-35,-1.736446766583598793e-36,-3.447424352899704152e-35,-7.087495440623258528e-35,-6.913850763964899116e-35,-8.168437847606107243e-35
2.010309278350515651e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-1.210922186867256531e-09,-1.157607378301918773e-09,-2.508904601844917281e-09,-2.368529565169175304e-09,-1.210922186867256531e-09,-3.626044123974433449e-09
2.010309278350515651e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-2.034001884066059398e-80,-1.227825097212750399e-80,-3.238782789416548062e-80,-3.261826981278809609e-80,-2.034001884066059398e-80,-4.871646515597629929e-80
2.010309278350515651e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,-5.458732118061969884e-21,-1.306312383953414459e-20,-1.821069094377288045e-20,-1.852185595759611523e-20,-5.458732118061969884e-21,-2.502615231084707316e-20
2.512886597938144225e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-2.747490240910954924e-17,-6.425944674319776970e-18,-3.237497202829643807e-17,-3.390084708342932929e-17,-2.747490240910954924e-17,-4.194876046460935303e-17
2.512886597938144225e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,1.173979170488166157e-10,3.528048839408294065e-10,-2.217140897652901828e-09,4.702028009896460740e-10,1.173979170488166157e-10,-1.945346286917877810e-09
2.512886597938144225e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-1.888222223259770835e-52,-1.373234556431187291e-52,-3.261975325324511952e-52,-3.261456779690957941e-52,-1.888222223259770835e-52,-4.858983730078334568e-52
2.512886597938144225e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,-1.093034446035985051e-11,-1.967331379578701251e-11,-3.084457782227705287e-11,-3.060365825614686302e-11,-1.093034446035985051e-11,-4.057110785445034797e-11
3.015463917525773138e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-2.715035148218179413e-10,-1.155729629020968342e-10,-3.908586469278996637e-10,-3.870764777239147884e-10,-2.715035148218179413e-10,-4.525008363846328125e-10
3.015463917525773138e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,1.029954354584562995e-10,2.339513907398973334e-10,-1.167059453031774824e-08,3.369468261983536459e-10,1.029954354584562995e-10,-1.117581176453205690e-08
3.015463917525773138e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-1.122353115875201773e-33,-8.796648272795831919e-34,-2.007603883032403348e-33,-2.002017943154785136e-33,-1.122353115875201773e-33,-2.978935776655798887e-33
