time_s,contact_force_N,centre_deflection_m,zeta_m,max_penetration_m,energy_J,energy_drift
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,6.227579619865872620e-03,0.000000000000000000e+00
5.001287885292349898e-06,3.276862766323710208e+00,8.073472111766542820e-06,8.858527826854449471e-06,7.850557150879066516e-07,6.227549940199039041e-03,1.898393990927114909e-05
1.000257577058469980e-05,1.071404967040636613e+01,1.638227160797646622e-05,1.769279498745113309e-05,1.310523379474666874e-06,6.227855523625110308e-03,5.468898649551814277e-05
1.500386365587704969e-05,1.732511946935249725e+01,2.476356945994629316e-05,2.645920502259336657e-05,1.695635562647073406e-06,6.227872411891098234e-03,8.667665181766147234e-05
2.000515154116939959e-05,2.291742661453689323e+01,3.330230620165450700e-05,3.511687493167513842e-05,1.814568730020631421e-06,6.227971951313955243e-03,1.047070867599840294e-04
2.500643942646174779e-05,2.690366546669359593e+01,4.164615137170941147e-05,4.363027070188409996e-05,1.984119330174688488e-06,6.227571190109180456e-03,1.115090726861853101e-04
3.000772731175409939e-05,2.914639401546102704e+01,4.998616790390627890e-05,5.197587711292331742e-05,1.989709209017038528e-06,6.228161420462316293e-03,1.172200105093836254e-04
3.500901519704645098e-05,3.042688308436465405e+01,5.809368336816864658e-05,6.013855309881776243e-05,2.044869730649115857e-06,6.227895388600192608e-03,1.172200105093836254e-04
4.001030308233879918e-05,3.168942652922778791e+01,6.600432615099768906e-05,6.810883236846566283e-05,2.104506217467973770e-06,6.227522179444066469e-03,1.180982957783146756e-04
4.501159096763114739e-05,3.182345900430062713e+01,7.382957720146888624e-05,7.588122691139322681e-05,2.051649709924340567e-06,6.228285421547790669e-03,1.187162882054327786e-04
5.001287885292349559e-05,3.179513953282103955e+01,8.134280262273336647e-05,8.345307004880863396e-05,2.110267426075267496e-06,6.227698510282071200e-03,1.187162882054327786e-04
5.501416673821584379e-05,3.224493989554716222e+01,8.873572253448770849e-05,9.082348021374941547e-05,2.087757679261706975e-06,6.227579249908575185e-03,1.187162882054327786e-04
6.001545462350819877e-05,3.151024845697135390e+01,9.592808090370186301e-05,9.799304336207477657e-05,2.064962458372913566e-06,6.228285237641141212e-03,1.187162882054327786e-04
6.501674250880054020e-05,3.107623966682992034e+01,1.028727154349993160e-04,1.049633743160557491e-04,2.090658881056433119e-06,6.227508228713822709e-03,1.187162882054327786e-04
7.001803039409290196e-05,3.112085513738586684e+01,1.097008594651641551e-04,1.117368330164234073e-04,2.035973551259252171e-06,6.227723030139714622e-03,1.187162882054327786e-04
7.501931827938525016e-05,2.991439328322971392e+01,1.162599531080854288e-04,1.183164929772112143e-04,2.056539869125785470e-06,6.228139712286992133e-03,1.187162882054327786e-04
8.002060616467759836e-05,2.961916507821199929e+01,1.226874719791646944e-04,1.247059093309109640e-04,2.018437351746269577e-06,6.227440713270426115e-03,1.187162882054327786e-04
8.502189404996994657e-05,2.928907831481224733e+01,1.289061873258771159e-04,1.309089745690539307e-04,2.002787243176814853e-06,6.227839688005872530e-03,1.187162882054327786e-04
9.002318193526229477e-05,2.787611866193518040e+01,1.349198913612381298e-04,1.369298939149135976e-04,2.010002553675467769e-06,6.227934853476072875e-03,1.187162882054327786e-04
