time_s,contact_force_N,impact_w_m,ball_travel_m,indentation_m,energy_J,S1_mean_exx_plus_eyy,S2_mean_exx_plus_eyy,S3_mean_exx_plus_eyy,S4_mean_exx_plus_eyy
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.227579619865871753e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.999687519530029071e-06,1.957482587216599867e+01,2.896297284838169537e-08,8.844322794454177861e-06,8.815359821605795593e-06,6.227530213511032857e-03,3.493568569078069160e-09,3.493568569082691445e-09,3.493568627412058604e-09,3.493568627407418120e-09
9.999375039060058143e-06,5.353495893564615216e+01,3.186919675766790278e-07,1.755852629965580034e-05,1.723983433207912147e-05,6.227524465433699301e-03,3.168424239902754550e-08,3.168424239903995982e-08,3.168424234774938848e-08,3.168424234773760943e-08
1.499906255859008806e-05,9.164119645688803928e+01,1.263566222835830657e-06,2.593353534771403900e-05,2.466996912487820750e-05,6.227542991986000261e-03,8.864391334516850508e-08,8.864391334515219970e-08,8.864391337114022931e-08,8.864391337116066398e-08
1.999875007812011629e-05,1.257596795347042473e+02,3.268464459006019501e-06,3.373354894599960203e-05,3.046508448699358380e-05,6.227573675966972637e-03,1.463907625095261453e-07,1.463907625095265688e-07,1.463907625301141281e-07,1.463907625301347745e-07
2.499843759765014620e-05,1.490120459356784863e+02,6.634066473865135282e-06,4.074725836879881653e-05,3.411319189493368294e-05,6.227597037629280415e-03,1.686014457860857652e-07,1.686014457861126585e-07,1.686014457040410952e-07,1.686014457040665061e-07
2.999812511718017612e-05,1.572477804425673469e+02,1.147155020091617135e-05,4.683037223660658680e-05,3.535882203569041545e-05,6.227599106439591845e-03,1.287535757036222055e-07,1.287535757036296170e-07,1.287535757854648582e-07,1.287535757855770900e-07
3.499781263671020604e-05,1.500464130002650052e+02,1.766034094102389765e-05,5.193121523415571524e-05,3.427087429313181759e-05,6.227581558688720549e-03,4.418584317687142033e-08,4.418584317694638274e-08,4.418584304604167591e-08,4.418584304620515327e-08
3.999750015624023257e-05,1.304691291356575107e+02,2.487253415055566366e-05,5.609352015133878266e-05,3.122098600078311901e-05,6.227558490471428454e-03,-1.742124232465736445e-08,-1.742124232450447500e-08,-1.742124228824765321e-08,-1.742124228795246223e-08
4.499718767577026588e-05,1.037819367837593063e+02,3.263445646533302689e-05,5.943781935908754336e-05,2.680336289375451648e-05,6.227544636435776264e-03,8.965919470224384641e-09,8.965919470442919141e-09,8.965919550016582338e-09,8.965919550611199467e-09
4.999687519530029241e-05,7.565059911445992213e+01,4.041974515052040260e-05,6.212923842900361945e-05,2.170949327848321686e-05,6.227545630200158680e-03,1.384260888222538452e-07,1.384260888226909142e-07,1.384260886621222666e-07,1.384260886630590850e-07
5.499656271483031894e-05,5.056711091809570746e+01,4.774599437322297438e-05,6.434263537147070220e-05,1.659664099824772782e-05,6.227556474262069264e-03,3.240373829403099767e-07,3.240373829410138611e-07,3.240373831427288283e-07,3.240373831441493025e-07
5.999625023436035224e-05,3.102648971987679261e+01,5.425088494177253428e-05,6.623473962866727540e-05,1.198385468689474112e-05,6.227567783886198832e-03,4.578037356127645776e-07,4.578037356137318892e-07,4.578037356562902126e-07,4.578037356584848750e-07
6.499593775389037877e-05,1.760961120054572504e+01,5.971336505047022183e-05,6.792837228879223274e-05,8.215007238322010916e-06,6.227572916334109081e-03,4.251182821876351613e-07,4.251182821890005784e-07,4.251182819618873283e-07,4.251182819650103388e-07
6.999562527342041208e-05,9.545536434574076523e+00,6.404703181916383196e-05,6.950848647141938050e-05,5.461454652255548535e-06,6.227571414639213911e-03,1.926790830684261912e-07,1.926790830702286773e-07,1.926790832776941511e-07,1.926790832819801378e-07
7.499531279295044539e-05,5.433643891719284191e+00,6.727544971065588957e-05,7.102663820017763544e-05,3.751188489521745865e-06,6.227567574608771847e-03,-1.642886365425365929e-07,-1.642886365403825881e-07,-1.642886366722546066e-07,-1.642886366665184995e-07
7.999500031248046514e-05,3.897950766098051467e+00,6.950339763152639429e-05,7.250946704772730873e-05,3.006069416200914438e-06,6.227565434989698785e-03,-5.142658176635498136e-07,-5.142658176608138972e-07,-5.142658178940901590e-07,-5.142658178869259544e-07
8.499468783201049845e-05,4.044573640624482991e+00,7.088612991626387552e-05,7.396711742068366865e-05,3.080987504419793136e-06,6.227565386059181161e-03,-7.283086123890767318e-07,-7.283086123856081319e-07,-7.283086119828786938e-07,-7.283086119741906769e-07
8.999437535154053175e-05,5.505109809395378306e+00,7.161483965860911713e-05,7.539884809787218895e-05,3.784008439263071826e-06,6.227565168162444049e-03,-7.319387461806923296e-07,-7.319387461764292127e-07,-7.319387463919990978e-07,-7.319387463816915539e-07
9.499406287107055151e-05,8.104816012847116724e+00,7.189846342342944095e-05,7.679553981842373884e-05,4.897076394994297893e-06,6.227563157378230435e-03,-5.298307266501857330e-07,-5.298307266450726186e-07,-5.298307267618564392e-07,-5.298307267499043808e-07
9.999375039060058481e-05,1.154729875980894782e+01,7.194044413077114693e-05,7.814096785819766059e-05,6.200523727426513658e-06,6.227560401516016655e-03,-1.708909758922385729e-07,-1.708909758862686847e-07,-1.708909755132404569e-07,-1.708909754994168792e-07
1.049934379101306181e-04,1.534449826908972092e+01,7.191919188982353001e-05,7.941370172520843807e-05,7.494509835384908060e-06,6.227559398995659995e-03,2.899403270969927197e-07,2.899403271037156202e-07,2.899403267916856230e-07,2.899403268075979840e-07
1.099931254296606379e-04,1.889849807598008624e+01,7.197901598408997035e-05,8.059013581230229436e-05,8.611119828212324004e-06,6.227561173187185460e-03,7.745073945709928388e-07,7.745073945784653634e-07,7.745073945309569795e-07,7.745073945490546855e-07
1.149928129491906712e-04,2.166026391964175346e+01,7.221732612632545192e-05,8.164817100512825868e-05,9.430844878802806751e-06,6.227564421115221356e-03,1.181120917130199944e-06,1.181120917138475456e-06,1.181120917374131881e-06,1.181120917394630078e-06
1.199925004687207045e-04,2.327970851809751807e+01,7.267534935289403028e-05,8.257059236699081746e-05,9.895243014096787178e-06,6.227566914003615332e-03,1.412174774174576857e-06,1.412174774183817987e-06,1.412174773975652864e-06,1.412174773998432968e-06
1.249921879882507378e-04,2.366552523298293664e+01,7.334297105754283732e-05,8.334724412420346415e-05,1.000427306666062683e-05,6.227567143603605394e-03,1.375430890814175296e-06,1.375430890824471829e-06,1.375430891025281318e-06,1.375430891050399233e-06
1.299918755077807575e-04,2.295751387671159804e+01,7.417188976517785539e-05,8.397561977606130489e-05,9.803730010883449498e-06,6.227565304898824948e-03,9.991988853098783009e-07,9.991988853214386066e-07,9.991988856777819794e-07,9.991988857052936095e-07
1.349915630273107773e-04,2.143539447349194305e+01,7.509457060544291024e-05,8.446003015256383717e-05,9.365459547120926929e-06,6.227562595455701094e-03,2.893342946600826343e-07,2.893342946730862841e-07,2.893342942673303973e-07,2.893342942973187518e-07
1.399912505468408242e-04,1.939526566077628189e+01,7.604853865829597432e-05,8.480990676017130991e-05,8.761368101875335597e-06,6.227560281699190056e-03,-6.685889660653247042e-07,-6.685889660509048153e-07,-6.685889660473032313e-07,-6.685889660146179239e-07
1.449909380663708439e-04,1.705202293921570700e+01,7.699732457139494266e-05,8.503799097744464089e-05,8.040666406049698229e-06,6.227559476883580067e-03,-1.733106370032724695e-06,-1.733106370016729324e-06,-1.733106370164190984e-06,-1.733106370128564778e-06
1.499906255859008908e-04,1.454372187770198721e+01,7.792752835323903647e-05,8.515897432980948758e-05,7.231445976570451107e-06,6.227560712221805878e-03,-2.705099956131107143e-06,-2.705099956113216113e-06,-2.705099956448060096e-06,-2.705099956409557366e-06
1.549903131054309105e-04,1.196908165577726813e+01,7.883800079228028325e-05,8.518860907416058478e-05,6.350608281880301535e-06,6.227563736711305004e-03,-3.350006864385672337e-06,-3.350006864365729793e-06,-3.350006863949196259e-06,-3.350006863907468028e-06
1.599900006249609303e-04,9.419452146446005258e+00,7.972981241067215042e-05,8.514306802431020524e-05,5.413255613638054821e-06,6.227567321980166312e-03,-3.447734498715979620e-06,-3.447734498693875448e-06,-3.447734498931247114e-06,-3.447734498886126516e-06
1.649896881444909771e-04,6.989524324766019703e+00,8.060153172480160927e-05,8.503836578257476973e-05,4.436834057773160456e-06,6.227569355333358730e-03,-2.806747363887962982e-06,-2.806747363863446460e-06,-2.806747363636092653e-06,-2.806747363587357765e-06
1.699893756640209969e-04,4.794377802985660963e+00,8.143887206268339313e-05,8.488975008157381783e-05,3.450878018890424703e-06,6.227568108924138104e-03,-1.315799873475631902e-06,-1.315799873448798322e-06,-1.315799873090141278e-06,-1.315799873037352915e-06
1.749890631835510166e-04,2.946753769585056748e+00,8.221637371770596522e-05,8.471099144400132640e-05,2.494617726295361173e-06,6.227563677374244565e-03,9.519744569705727405e-07,9.519744569997182972e-07,9.519744567655433334e-07,9.519744568228984753e-07
1.799887507030810635e-04,1.534271310096932739e+00,8.289916553421200940e-05,8.451368349822932350e-05,1.614517964017314101e-06,6.227558250578787112e-03,3.686007440018316069e-06,3.686007440049788426e-06,3.686007440109084120e-06,3.686007440171251256e-06
1.849884382226110833e-04,5.941980049149799825e-01,8.344888672526430554e-05,8.430670553517131732e-05,8.578188099070117823e-07,6.227555040032951850e-03,6.368670924020361496e-06,6.368670924054007339e-06,6.368670923811503500e-06,6.368670923879028966e-06
1.899881257421411030e-04,1.021739725485615452e-01,8.383073515978439608e-05,8.409599303814771108e-05,2.652578783633149960e-07,6.227556100946117328e-03,8.341257582959285723e-06,8.341257582995054230e-06,8.341257582812256049e-06,8.341257582885509153e-06
1.949878132616711499e-04,0.000000000000000000e+00,8.403233903966100837e-05,8.388467548035029558e-05,0.000000000000000000e+00,6.227560791590285548e-03,8.954519778918810464e-06,8.954519778956747375e-06,8.954519779042367160e-06,8.954519779121541023e-06
1.999875007812011696e-04,0.000000000000000000e+00,8.406758651262078515e-05,8.367357962251442390e-05,0.000000000000000000e+00,6.227566587231731475e-03,7.774293303933465247e-06,7.774293303973553622e-06,7.774293304231653031e-06,7.774293304316925532e-06
2.049871883007311894e-04,0.000000000000000000e+00,8.397038097346147480e-05,8.346272898402515750e-05,0.000000000000000000e+00,6.227570872435697451e-03,4.728076974198690429e-06,4.728076974240892998e-06,4.728076973910863551e-06,4.728076974002166927e-06
2.099868758202612362e-04,0.000000000000000000e+00,8.378388730630883879e-05,8.325212356488253705e-05,0.000000000000000000e+00,6.227572319494837499e-03,1.430036481561706887e-07,1.430036482005992609e-07,1.430036484090760920e-07,1.430036485062815931e-07
2.149865633397912560e-04,0.000000000000000000e+00,8.355731924226608579e-05,8.304176336508653543e-05,0.000000000000000000e+00,6.227571040623367839e-03,-5.281702031268493386e-06,-5.281702031221840505e-06,-5.281702030998555844e-06,-5.281702030895502428e-06
2.199862508593212757e-04,0.000000000000000000e+00,8.333599341310413871e-05,8.283164838463715266e-05,0.000000000000000000e+00,6.227567611549917302e-03,-1.060557739781973964e-05,-1.060557739777116569e-05,-1.060557739794375374e-05,-1.060557739783499132e-05
2.249859383788513226e-04,0.000000000000000000e+00,8.315888014064984758e-05,8.262177862353438872e-05,0.000000000000000000e+00,6.227562965981511649e-03,-1.484042557688221516e-05,-1.484042557683197933e-05,-1.484042557611578248e-05,-1.484042557600145505e-05
2.299856258983813424e-04,0.000000000000000000e+00,8.305633936762932073e-05,8.241215408177825718e-05,0.000000000000000000e+00,6.227558656557725079e-03,-1.711617230527159639e-05,-1.711617230521999514e-05,-1.711617230560202055e-05,-1.711617230548230430e-05
2.349853134179113892e-04,0.000000000000000000e+00,8.304651919624635691e-05,8.220277475936874447e-05,0.000000000000000000e+00,6.227556230991772995e-03,-1.683376075680988973e-05,-1.683376075675695695e-05,-1.683376075663937523e-05,-1.683376075651480717e-05
2.399850009374414090e-04,0.000000000000000000e+00,8.312778312003375118e-05,8.199364065630586416e-05,0.000000000000000000e+00,6.227556140496934810e-03,-1.384245540583535399e-05,-1.384245540578118793e-05,-1.384245540556329887e-05,-1.384245540543455325e-05
2.449846884569714558e-04,0.000000000000000000e+00,8.328396149811056310e-05,8.178475177258960269e-05,0.000000000000000000e+00,6.227557415286637428e-03,-8.507352134486783344e-06,-8.507352134431206124e-06,-8.507352134886918320e-06,-8.507352134755011573e-06
2.499843759765014756e-04,0.000000000000000000e+00,8.349220136298143044e-05,8.157610810821996005e-05,0.000000000000000000e+00,6.227558898348759323e-03,-1.614017672334346637e-06,-1.614017672277261699e-06,-1.614017672561381960e-06,-1.614017672427306809e-06
2.549840634960314953e-04,0.000000000000000000e+00,8.372608716359040959e-05,8.136770966319693626e-05,0.000000000000000000e+00,6.227560691318518096e-03,5.818531267181816774e-06,5.818531267240112969e-06,5.818531266669895472e-06,5.818531266805393638e-06
2.599837510155615151e-04,0.000000000000000000e+00,8.395593819366235799e-05,8.115955643752053130e-05,0.000000000000000000e+00,6.227563665856050180e-03,1.276624164646883055e-05,1.276624164652805340e-05,1.276624164664231137e-05,1.276624164677851257e-05
2.649834385350915348e-04,0.000000000000000000e+00,8.415149752651281438e-05,8.095164843119077229e-05,0.000000000000000000e+00,6.227567676967387354e-03,1.840795318321917473e-05,1.840795318327909384e-05,1.840795318299609675e-05,1.840795318313216412e-05
2.699831260546215546e-04,0.000000000000000000e+00,8.428289839486546246e-05,8.074398564420761856e-05,0.000000000000000000e+00,6.227571081563512342e-03,2.219047343149007574e-05,2.219047343155019814e-05,2.219047343223003695e-05,2.219047343236532505e-05
2.749828135741516286e-04,0.000000000000000000e+00,8.432266685102829179e-05,8.053656807657109723e-05,0.000000000000000000e+00,6.227571935581041780e-03,2.379570867827746365e-05,2.379570867833748779e-05,2.379570867870848145e-05,2.379570867884232621e-05
2.799825010936816483e-04,0.000000000000000000e+00,8.425506169525156749e-05,8.032939572828119473e-05,0.000000000000000000e+00,6.227569653817867541e-03,2.310118198430659954e-05,2.310118198436612901e-05,2.310118198456839031e-05,2.310118198470014121e-05
2.849821886132116681e-04,0.000000000000000000e+00,8.408052814477207852e-05,8.012246859933791108e-05,0.000000000000000000e+00,6.227565388136326908e-03,2.015037609114981557e-05,2.015037609120827439e-05,2.015037609244119183e-05,2.015037609257045245e-05
2.899818761327416878e-04,0.000000000000000000e+00,8.381375838860979748e-05,7.991578668974125982e-05,0.000000000000000000e+00,6.227560747857898045e-03,1.514991341965795833e-05,1.514991341971459603e-05,1.514991342003764593e-05,1.514991342016412658e-05
2.949815636522717076e-04,0.000000000000000000e+00,8.347983153526691749e-05,7.970934999949122739e-05,0.000000000000000000e+00,6.227557015916674980e-03,8.531671016607494449e-06,8.531671016661489411e-06,8.531671017154764130e-06,8.531671017278285251e-06
2.999812511718017815e-04,0.000000000000000000e+00,8.311792055725056923e-05,7.950315852858782736e-05,0.000000000000000000e+00,6.227555361813804681e-03,1.005503990509627767e-06,1.005503990560009287e-06,1.005503990232162644e-06,1.005503990352777594e-06
3.049809386913318013e-04,0.000000000000000000e+00,8.277824314753468493e-05,7.929721227703104617e-05,0.000000000000000000e+00,6.227556928952176010e-03,-6.494490752624492561e-06,-6.494490752578646056e-06,-6.494490752432177965e-06,-6.494490752314444621e-06
3.099806262108618211e-04,0.000000000000000000e+00,8.251728240464262221e-05,7.909151124482088381e-05,0.000000000000000000e+00,6.227562109778413645e-03,-1.298684204616812774e-05,-1.298684204612762940e-05,-1.298684204648112335e-05,-1.298684204636628093e-05
3.149803137303918408e-04,0.000000000000000000e+00,8.238756506259367618e-05,7.888605543195734030e-05,0.000000000000000000e+00,6.227569305764460265e-03,-1.768746524504989838e-05,-1.768746524501554611e-05,-1.768746524584481169e-05,-1.768746524573285765e-05
3.199800012499218606e-04,0.000000000000000000e+00,8.242879632803212493e-05,7.868084483844044272e-05,0.000000000000000000e+00,6.227574983573863458e-03,-2.022375706194736846e-05,-2.022375706191978907e-05,-2.022375706233113198e-05,-2.022375706222215611e-05
3.249796887694518803e-04,0.000000000000000000e+00,8.265345513126578776e-05,7.847587946427015044e-05,0.000000000000000000e+00,6.227575869956984006e-03,-2.070681032964113045e-05,-2.070681032962076777e-05,-2.070681033102686957e-05,-2.070681033092106838e-05
3.299793762889819543e-04,0.000000000000000000e+00,8.304547073092753326e-05,7.827115930944649055e-05,0.000000000000000000e+00,6.227571255132659245e-03,-1.961492852593414525e-05,-1.961492852592129746e-05,-1.961492852599064913e-05,-1.961492852588841225e-05
3.349790638085119740e-04,0.000000000000000000e+00,8.356322357937460445e-05,7.806668437396944949e-05,0.000000000000000000e+00,6.227563381852528959e-03,-1.755320294603395355e-05,-1.755320294602887135e-05,-1.755320294631521253e-05,-1.755320294621686862e-05
3.399787513280419938e-04,0.000000000000000000e+00,8.414640328295541446e-05,7.786245465783902728e-05,0.000000000000000000e+00,6.227556016941602178e-03,-1.501249745678449304e-05,-1.501249745678752542e-05,-1.501249745596053666e-05,-1.501249745586632288e-05
3.449784388475720135e-04,0.000000000000000000e+00,8.471808928390924301e-05,7.765847016105522391e-05,0.000000000000000000e+00,6.227552267267932526e-03,-1.222781609694571821e-05,-1.222781609695731240e-05,-1.222781609620184541e-05,-1.222781609611180750e-05
3.499781263671020333e-04,0.000000000000000000e+00,8.519764937350392112e-05,7.745473088361805292e-05,0.000000000000000000e+00,6.227553312659383014e-03,-9.181542057919592843e-06,-9.181542057940277388e-06,-9.181542057273808148e-06,-9.181542057187946112e-06
