time_s,contact_force_N,impact_w_m,ball_travel_m,indentation_m,energy_J,S1_mean_exx_plus_eyy,S2_mean_exx_plus_eyy,S3_mean_exx_plus_eyy,S4_mean_exx_plus_eyy
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.227579619865871753e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.999687519530029071e-06,9.825587052238546448e+00,1.311800107003154660e-08,8.851384808405765651e-06,8.838266807335733494e-06,6.227554206271928086e-03,-2.253080733897028175e-10,-2.253080733895559929e-10,-2.253080284719401897e-10,-2.253080284720601309e-10
9.999375039060058143e-06,2.735660050839301149e+01,1.454752969976599551e-07,1.763734317240230677e-05,1.749186787540464523e-05,6.227547070277673381e-03,-1.345436885543713611e-09,-1.345436885544295946e-09,-1.345436942548819203e-09,-1.345436942548104519e-09
1.499906255859008806e-05,4.861972437857382801e+01,5.845392462947675017e-07,2.624925336530894987e-05,2.566471411901418375e-05,6.227548332462806702e-03,1.316811211590471799e-09,1.316811211590087987e-09,1.316811281962696975e-09,1.316811281963292546e-09
1.999875007812011629e-05,7.092292012072155671e+01,1.544021096961962861e-06,3.455455194480640295e-05,3.301053084784443925e-05,6.227556639974578083e-03,2.175428030675298916e-08,2.175428030675478910e-08,2.175428023984373907e-08,2.175428023984082740e-08
2.499843759765014620e-05,9.173775919199785278e+01,3.225412679150914595e-06,4.241405229882223919e-05,3.918863961967132629e-05,6.227568920192220331e-03,8.212494685419931435e-08,8.212494685419841438e-08,8.212494690822572271e-08,8.212494690822143460e-08
2.999812511718017612e-05,1.088113422205252192e+02,5.786377365798086447e-06,4.969780405433428506e-05,4.391142668853619522e-05,6.227580783981534994e-03,1.942637768716035001e-07,1.942637768715925945e-07,1.942637768328999177e-07,1.942637768328929826e-07
3.499781263671020604e-05,1.204365444686102222e+02,9.313303881410761262e-06,5.629914006781729362e-05,4.698583618640653236e-05,6.227588238108481763e-03,3.543648803981944487e-07,3.543648803981938134e-07,3.543648804029197279e-07,3.543648804028795997e-07
3.999750015624023257e-05,1.256735035018479749e+02,1.380710131156825885e-05,6.214531355221584378e-05,4.833821224064758663e-05,6.227589259871393022e-03,5.403103208943411088e-07,5.403103208943506379e-07,5.403103208794801275e-07,5.403103208793871656e-07
4.499718767577026588e-05,1.244410881160504800e+02,1.918169724655648968e-05,6.720337206711107542e-05,4.802167482055458574e-05,6.227584474606116111e-03,7.067351613213894037e-07,7.067351613213949094e-07,7.067351612769371146e-07,7.067351612767912132e-07
4.999687519530029241e-05,1.174700970351207445e+02,2.526958999503978734e-05,7.148069153386581544e-05,4.621110153882602810e-05,6.227576646861802262e-03,8.058917629793612629e-07,8.058917629794080614e-07,8.058917631056828862e-07,8.058917631054270822e-07
5.499656271483031894e-05,1.060972595471968276e+02,3.184231466876622716e-05,7.502048284572242654e-05,4.317816817695619937e-05,6.227569239685487243e-03,8.029220274959553005e-07,8.029220274960493212e-07,8.029220272675592191e-07,8.029220272671573019e-07
5.999625023436035224e-05,9.197084642627403639e+01,3.863853362079303869e-05,7.789352547437651672e-05,3.925499185358347803e-05,6.227564732894297871e-03,6.782973950279532576e-07,6.782973950281099587e-07,6.782973952222287344e-07,6.782973952216963742e-07
6.499593775389037877e-05,7.674100287230481854e+01,4.539592041757862178e-05,8.018794884871456152e-05,3.479202843113593974e-05,6.227563798675368224e-03,4.267543243021542233e-07,4.267543243024388264e-07,4.267543242358942240e-07,4.267543242351877985e-07
6.999562527342041208e-05,6.183219172336522718e+01,5.187320484526550214e-05,8.199895453180400446e-05,3.012574968653850232e-05,6.227565470864570435e-03,8.212424977162563201e-08,8.212424977209404123e-08,8.212424973713699150e-08,8.212424973624760690e-08
7.499531279295044539e-05,4.830191356760131782e+01,5.786716507858469949e-05,8.341991591928724125e-05,2.555275084070254176e-05,6.227568052514019341e-03,-2.783436714940989534e-07,-2.783436714934170919e-07,-2.783436714864892094e-07,-2.783436714875124252e-07
7.999500031248046514e-05,3.678557958291756336e+01,6.322592224941432052e-05,8.453574503023009851e-05,2.130982278081577799e-05,6.227570180299222581e-03,-5.587518702420927674e-07,-5.587518702411017389e-07,-5.587518701003960138e-07,-5.587518701015386613e-07
8.499468783201049845e-05,2.753011209829558226e+01,6.785311769589091814e-05,8.541887005558195737e-05,1.756575235969103923e-05,6.227571368065887118e-03,-6.690266703532570428e-07,-6.690266703518679087e-07,-6.690266705595366705e-07,-6.690266705607826559e-07
8.999437535154053175e-05,2.047564851513547168e+01,7.170803684129082656e-05,8.612763684076123443e-05,1.441959999947040787e-05,6.227571782825213828e-03,-5.656138913254527429e-07,-5.656138913235850353e-07,-5.656138912883958985e-07,-5.656138912896715301e-07
9.499406287107055151e-05,1.536291627648754776e+01,7.480031753020979660e-05,8.670662824022307461e-05,1.190631071001327802e-05,6.227571772858913474e-03,-2.710655035551264914e-07,-2.710655035527099064e-07,-2.710655034320500631e-07,-2.710655034333333180e-07
9.999375039060058481e-05,1.183087520764189549e+01,7.718503799194245110e-05,8.718824719571437068e-05,1.000320920377191958e-05,6.227571516262683099e-03,1.286269168005379760e-07,1.286269168035883534e-07,1.286269167078304317e-07,1.286269167065774582e-07
1.049934379101306181e-04,9.507015630166538500e+00,7.894876352435362251e-05,8.759494289961560615e-05,8.646179375261983636e-06,6.227570932793359028e-03,5.293965449005810195e-07,5.293965449043467162e-07,5.293965447357875832e-07,5.293965447345479505e-07
1.099931254296606379e-04,8.064242532689611664e+00,8.019386901243984428e-05,8.794152787068584636e-05,7.747658858246002085e-06,6.227569961449870746e-03,8.368171020228272941e-07,8.368171020274021190e-07,8.368171023545711360e-07,8.368171023533022807e-07
1.149928129491906712e-04,7.239109555697598175e+00,8.102751302172232111e-05,8.823722976019145214e-05,7.209716738469131025e-06,6.227568818754517475e-03,9.793178781048304278e-07,9.793178781102836259e-07,9.793178778279506040e-07,9.793178778265936572e-07
1.199925004687207045e-04,6.828238917751423998e+00,8.155308589857877388e-05,8.848735313933557198e-05,6.934267240756798105e-06,6.227567944010034898e-03,9.114696668258219199e-07,9.114696668322068543e-07,9.114696668563591518e-07,9.114696668548277162e-07
1.249921879882507378e-04,6.675332959047141301e+00,8.186421156306264251e-05,8.869456837022283633e-05,6.830356807160193819e-06,6.227567728330682048e-03,6.240723542285582536e-07,6.240723542359206640e-07,6.240723542878979938e-07,6.240723542860480738e-07
1.299918755077807575e-04,6.664299688653108511e+00,8.203707081152153706e-05,8.885989921030751674e-05,6.822828398785979681e-06,6.227568290868283618e-03,1.633908603640415048e-07,1.633908603724948936e-07,1.633908603280290520e-07,1.633908603256776886e-07
1.349915630273107773e-04,6.708978276319237821e+00,8.213017160786194174e-05,8.898346029522928493e-05,6.853288687367343189e-06,6.227569320749825645e-03,-3.840642926857128930e-07,-3.840642926760363886e-07,-3.840642928729275031e-07,-3.840642928759598811e-07
1.399912505468408242e-04,6.750573788137172571e+00,8.218341457164290683e-05,8.906500089047888178e-05,6.881586318835974958e-06,6.227570253558465004e-03,-9.078078081453368415e-07,-9.078078081344067283e-07,-9.078078080313939694e-07,-9.078078080353784124e-07
1.449909380663708439e-04,6.755773837545123506e+00,8.221915634984918483e-05,8.910427619510237170e-05,6.885119845253186870e-06,6.227570612980885649e-03,-1.296227835643434009e-06,-1.296227835631002953e-06,-1.296227835592019109e-06,-1.296227835597179234e-06
1.499906255859008908e-04,6.710073300407168873e+00,8.224722638794846783e-05,8.910126077376694608e-05,6.854034385818478245e-06,6.227570234635521063e-03,-1.463071062052844558e-06,-1.463071062038793975e-06,-1.463071062207790601e-06,-1.463071062214346636e-06
1.549903131054309105e-04,6.606875031519971131e+00,8.227266749559196293e-05,8.905624561674865586e-05,6.783578121156692928e-06,6.227569275885001983e-03,-1.371776323286496104e-06,-1.371776323270636259e-06,-1.371776323004786499e-06,-1.371776323013046764e-06
1.599900006249609303e-04,6.436893335258194071e+00,8.230316448614479873e-05,8.896988595554810913e-05,6.666721469403310402e-06,6.227568156716934734e-03,-1.026625011370566574e-06,-1.026625011352663686e-06,-1.026625011479539057e-06,-1.026625011489693288e-06
1.649896881444909771e-04,6.190566973776026494e+00,8.234772075338108051e-05,8.884325764345155248e-05,6.495536890070471967e-06,6.227567356205779107e-03,-4.538363950122775226e-07,-4.538363949920978097e-07,-4.538363949626989901e-07,-4.538363949751469863e-07
1.699893756640209969e-04,5.858300581181047129e+00,8.241693456855312555e-05,8.867791774193658214e-05,6.260983173383456593e-06,6.227567251660640069e-03,2.719153833604721253e-07,2.719153833829794848e-07,2.719153834994668438e-07,2.719153834846302147e-07
1.749890631835510166e-04,5.433360515004315161e+00,8.252152964681940895e-05,8.847596316751141427e-05,5.954433520692005324e-06,6.227568027633764366e-03,1.038597286058647924e-06,1.038597286083699770e-06,1.038597286088016250e-06,1.038597286070533490e-06
1.799887507030810635e-04,4.914564070172177779e+00,8.267097503915739809e-05,8.824007188313793301e-05,5.569096843980534924e-06,6.227569538194198048e-03,1.726030933434182684e-06,1.726030933461792570e-06,1.726030933324851059e-06,1.726030933304562926e-06
1.849884382226110833e-04,4.310522489455172135e+00,8.287063554117461662e-05,8.797350798962751486e-05,5.102872448452898239e-06,6.227571231158396566e-03,2.234119371455456807e-06,2.234119371485548500e-06,2.234119371723405516e-06,2.234119371700239164e-06
1.899881257421411030e-04,3.641409241932281216e+00,8.311996568477884764e-05,8.768006634436132057e-05,4.560100659582472932e-06,6.227572341269727550e-03,2.483104515458734794e-06,2.483104515491198178e-06,2.483104515328557688e-06,2.483104515302397922e-06
1.949878132616711499e-04,2.935947995099208896e+00,8.341367554626628834e-05,8.736394761824009937e-05,3.950272071973811032e-06,6.227572245716963065e-03,2.435874234164962386e-06,2.435874234199608575e-06,2.435874234217384408e-06,2.435874234188209205e-06
1.999875007812011696e-04,2.233276590199243739e+00,8.373785396464863019e-05,8.702957567366925295e-05,3.291721709020622760e-06,6.227570804189515308e-03,2.101816690863590873e-06,2.101816690900126793e-06,2.101816690939468932e-06,2.101816690907312173e-06
2.049871883007311894e-04,1.577789955088086948e+00,8.407022966742494323e-05,8.668135405182579968e-05,2.611124384400856455e-06,6.227568540902677849e-03,1.501980164540455956e-06,1.501980164578527122e-06,1.501980164762846997e-06,1.501980164727852678e-06
2.099868758202612362e-04,1.010646023215826972e+00,8.438312661770232042e-05,8.632339057814265686e-05,1.940263960440336433e-06,6.227566403790190872e-03,6.650433350447254099e-07,6.650433350839430354e-07,6.650433346158057131e-07,6.650433345779890802e-07
2.149865633397912560e-04,5.597667223231480582e-01,8.465066610516283293e-05,8.595924372046578725e-05,1.308577615302954317e-06,6.227565257620183876e-03,-3.653160103014869485e-07,-3.653160102615237222e-07,-3.653160098263395815e-07,-3.653160098667697347e-07
2.199862508593212757e-04,2.374991923634780233e-01,8.485287522920653984e-05,8.559174777082394052e-05,7.388725416174006782e-07,6.227565501546087658e-03,-1.516634173330731842e-06,-1.516634173290427473e-06,-1.516634173440551781e-06,-1.516634173483396825e-06
2.249859383788513226e-04,4.555515194414332114e-02,8.497718659502160265e-05,8.522293258261847467e-05,2.457459875968720248e-07,6.227566999957066286e-03,-2.705449439270112295e-06,-2.705449439229793950e-06,-2.705449439167796644e-06,-2.705449439212951547e-06
2.299856258983813424e-04,0.000000000000000000e+00,8.502185837770730387e-05,8.485399824822302442e-05,0.000000000000000000e+00,6.227569208656019185e-03,-3.832162644627891906e-06,-3.832162644587800989e-06,-3.832162644623726198e-06,-3.832162644671032988e-06
2.349853134179113892e-04,0.000000000000000000e+00,8.499458057690365714e-05,8.448529886047788449e-05,0.000000000000000000e+00,6.227571461691906382e-03,-4.784552954170654395e-06,-4.784552954131000548e-06,-4.784552953890232280e-06,-4.784552953939545691e-06
2.399850009374414090e-04,0.000000000000000000e+00,8.491064432173837722e-05,8.411684469207937696e-05,0.000000000000000000e+00,6.227573184807545272e-03,-5.455694015461474684e-06,-5.455694015422526415e-06,-5.455694015786611669e-06,-5.455694015837816505e-06
