time_s,contact_force_N,impact_w_m,ball_travel_m,indentation_m,energy_J,S1_mean_exx_plus_eyy,S2_mean_exx_plus_eyy,S3_mean_exx_plus_eyy,S4_mean_exx_plus_eyy
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.227579619865871753e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.999960937805173906e-06,1.935215716435874000e+01,9.644484802247487334e-08,8.844825950525444087e-06,8.748381102502969240e-06,6.227578879309524605e-03,-4.518635445828893183e-10,-4.518635445798967856e-10,-4.518635488791439794e-10,-4.518635488808788874e-10
9.999921875610347813e-06,5.047910215899356245e+01,9.848522246036689485e-07,1.756223071835856769e-05,1.657737849375490001e-05,6.227578968009463492e-03,-2.811553100664994515e-09,-2.811553100543066024e-09,-2.811553122144148222e-09,-2.811553122182739506e-09
1.499988281341552003e-05,7.969533949707694376e+01,3.486385776910016891e-06,2.596295672864835799e-05,2.247657095173834110e-05,6.227579245728421566e-03,-2.249229260762995646e-09,-2.249229260004416844e-09,-2.249229237353328947e-09,-2.249229237644302549e-09
1.999984375122069563e-05,9.942243637287202773e+01,7.819541728215682555e-06,3.386694135420727572e-05,2.604739962599159317e-05,6.227579424274526550e-03,-5.337696836852467619e-09,-5.337696835134806397e-09,-5.337696853510914873e-09,-5.337696854764983547e-09
2.499980468902586784e-05,1.084346032743551689e+02,1.355187253290268608e-05,4.115045029274627057e-05,2.759857775984358449e-05,6.227579492037189218e-03,-4.735240027630387907e-09,-4.735240026867842360e-09,-4.735240007534728102e-09,-4.735240011283586739e-09
2.999976562683104005e-05,1.094572152665211746e+02,1.998335120665772807e-05,4.775517293643504190e-05,2.777182172977731383e-05,6.227579510259086300e-03,-1.901782192314124677e-09,-1.901782197943261213e-09,-1.901782192308618549e-09,-1.901782201437897882e-09
3.499972656463621565e-05,1.058385576160490729e+02,2.651655874256170396e-05,5.367286600641140180e-05,2.715630726384969784e-05,6.227579504517181952e-03,-8.588832784664595532e-09,-8.588832803949689474e-09,-8.588832758794222435e-09,-8.588832779272233243e-09
3.999968750244139125e-05,9.989869456856727936e+01,3.279459965554582500e-05,5.892511535981861042e-05,2.613051570427278543e-05,6.227579479199633547e-03,-2.992612559920972299e-09,-2.992612599571858418e-09,-2.992612608733222433e-09,-2.992612651189233519e-09
4.499964844024656008e-05,9.289009007630559722e+01,3.865510167983097247e-05,6.354870099268770652e-05,2.489359931285673404e-05,6.227579446350723323e-03,1.446248650663595130e-09,1.446248583481840110e-09,1.446248587098032625e-09,1.446248508800711802e-09
4.999960937805173568e-05,8.540326486884504220e+01,4.405012477632947333e-05,6.758748503258686375e-05,2.353736025625739043e-05,6.227579421782369028e-03,-1.069426362645218149e-08,-1.069426373309951080e-08,-1.069426360091872733e-08,-1.069426372815881725e-08
5.499957031585691128e-05,7.771882624615524549e+01,4.898510476230192126e-05,7.108849684570324565e-05,2.210339208340132439e-05,6.227579402537385816e-03,-6.729536919887213755e-09,-6.729537083570336234e-09,-6.729536970155635534e-09,-6.729537155953153757e-09
5.999953125366208010e-05,6.999539584077815846e+01,5.348644917241920520e-05,7.410007656027230779e-05,2.061362738785310259e-05,6.227579386948285493e-03,1.342914420138511094e-08,1.342914396239654662e-08,1.342914416732454798e-08,1.342914391583843273e-08
