time_s,contact_force_N,impact_w_m,ball_travel_m,indentation_m,energy_J,S1_mean_exx_plus_eyy,S2_mean_exx_plus_eyy,S3_mean_exx_plus_eyy,S4_mean_exx_plus_eyy
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.227579619865871753e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.999843754882660928e-06,1.958470499366007900e+01,2.624992297796051248e-08,8.844575481888980014e-06,8.818325558911019178e-06,6.227567044426043398e-03,-4.503626796103226892e-10,-4.503626796100389663e-10,-4.503625901600923728e-10,-4.503625901603231562e-10
9.999687509765321856e-06,5.367300923268593493e+01,2.894299181284859367e-07,1.755888903622352201e-05,1.726945911809503681e-05,6.227565392518799592e-03,-2.662709557869589203e-09,-2.662709557870899457e-09,-2.662709674455018774e-09,-2.662709674453443822e-09
1.499953126464798109e-05,9.226382781263833976e+01,1.151340240664216935e-06,2.593292550665998638e-05,2.478158526599576796e-05,6.227569749705843920e-03,2.813435241782010960e-09,2.813435241781931551e-09,2.813435377000709533e-09,2.813435377001635976e-09
1.999937501953064371e-05,1.274338416755186927e+02,2.992844491679761400e-06,3.372770803963166960e-05,3.073486354795191032e-05,6.227577478656764164e-03,4.373358039300533921e-08,4.373358039301068611e-08,4.373358025060708350e-08,4.373358025060136602e-08
2.499921877441330125e-05,1.523006764816214229e+02,6.112022920751104154e-06,4.072529533924373001e-05,3.461327241849262586e-05,6.227583967576767049e-03,1.622991894130735503e-07,1.622991894130745033e-07,1.622991895162847267e-07,1.622991895162778446e-07
2.999906252929596218e-05,1.623828609439370041e+02,1.064691713805299694e-05,4.677139384515829223e-05,3.612447670710529699e-05,6.227585375032142385e-03,3.756609364929860106e-07,3.756609364929674818e-07,3.756609364045769467e-07,3.756609364045658294e-07
3.499890628417862311e-05,1.566780305208765185e+02,1.652964511238656239e-05,5.180300596836824063e-05,3.527336085598167825e-05,6.227581374759502339e-03,6.635962231469655600e-07,6.635962231469683129e-07,6.635962231619563491e-07,6.635962231618807514e-07
3.999875003906128742e-05,1.376772162517147535e+02,2.349416867179023499e-05,5.585473820002862926e-05,3.236056952823839427e-05,6.227575075767720174e-03,9.652497780799785777e-07,9.652497780799908596e-07,9.652497780445886941e-07,9.652497780444260638e-07
4.499859379394394496e-05,1.103004078757542601e+02,3.112941822677995588e-05,5.904368241482219808e-05,2.791426418804224220e-05,6.227570403472310230e-03,1.175355517787984270e-06,1.175355517787992740e-06,1.175355517715813251e-06,1.175355517715540930e-06
4.999843754882660250e-05,8.029684420973458714e+01,3.894974319322645198e-05,6.153926774537558865e-05,2.258952455214913667e-05,6.227569465537195238e-03,1.195724499329152216e-06,1.195724499329244543e-06,1.195724499590145090e-06,1.195724499589672869e-06
5.499828130370926682e-05,5.264281576846122590e+01,4.648012947308539911e-05,6.352789693315784899e-05,1.704776746007244988e-05,6.227571803032911323e-03,9.746677125750323943e-07,9.746677125752162004e-07,9.746677121347090929e-07,9.746677121340149494e-07
5.999812505859192436e-05,3.052274980223416279e+01,5.332834009173929765e-05,6.518212957167889390e-05,1.185378947993959625e-05,6.227575314069254929e-03,5.145429375984975063e-07,5.145429375987982029e-07,5.145429379991661132e-07,5.145429379982818108e-07
6.499796881347458190e-05,1.507977783788450665e+01,5.923268478908862524e-05,6.664074893863502558e-05,7.408064149546400340e-06,6.227577909191604581e-03,-1.370840183860176610e-07,-1.370840183855094412e-07,-1.370840185067079975e-07,-1.370840185078057522e-07
6.999781256835724622e-05,5.842007107687922307e+00,6.406446551353585611e-05,6.800132117957703574e-05,3.936855666041179629e-06,6.227578624277876895e-03,-8.521536499361865192e-07,-8.521536499353581209e-07,-8.521536499946182400e-07,-8.521536499959158945e-07
7.499765632323991053e-05,1.395494236963024548e+00,6.780717779512818514e-05,6.932280876317517603e-05,1.515630968046990891e-06,6.227577787682346197e-03,-1.432106810987864191e-06,-1.432106810986700368e-06,-1.432106810980083347e-06,-1.432106810981472481e-06
7.999750007812257485e-05,2.536632325060465473e-02,7.052936279406318495e-05,7.063414313016394552e-05,1.047803361007605683e-07,6.227576494243496248e-03,-1.676820156771990526e-06,-1.676820156770345588e-06,-1.676820156480663708e-06,-1.676820156482093500e-06
8.499734383300522561e-05,0.000000000000000000e+00,7.235069789901292330e-05,7.194477882517271675e-05,0.000000000000000000e+00,6.227575763768117278e-03,-1.446523614745076378e-06,-1.446523614742869857e-06,-1.446523615169141729e-06,-1.446523615170520699e-06
8.999718758788788993e-05,0.000000000000000000e+00,7.341455050794075908e-05,7.325565951647970686e-05,0.000000000000000000e+00,6.227575860756000281e-03,-7.437560402739695965e-07,-7.437560402711265304e-07,-7.437560402138124695e-07,-7.437560402150897952e-07
9.499703134277055424e-05,4.356390831210831815e-01,7.386916010956124995e-05,7.456663085397907209e-05,6.974707444178221459e-07,6.227576144134029656e-03,2.632378656299090787e-07,2.632378656334716993e-07,2.632378658842540145e-07,2.632378658831253431e-07
9.999687509765320501e-05,2.114306910145481666e+00,7.387510821738590549e-05,7.587444884725066637e-05,1.999340629864760884e-06,6.227576017715217606e-03,1.277893101980233473e-06,1.277893101984610092e-06,1.277893101799867124e-06,1.277893101798864237e-06
1.049967188525358693e-04,5.038024260585994618e+00,7.360170520644197757e-05,7.716852861777717286e-05,3.566823411335195287e-06,6.227575388659423172e-03,2.006927493840596235e-06,2.006927493845829204e-06,2.006927493512399767e-06,2.006927493511454478e-06
1.099965626074185336e-04,8.916777214153862374e+00,7.321169050423317903e-05,7.843060341175698213e-05,5.218912907523803098e-06,6.227574674903544986e-03,2.251905078934737689e-06,2.251905078940885454e-06,2.251905079623378863e-06,2.251905079622345483e-06
1.149964063623011980e-04,1.322337057763330570e+01,7.284964497238533444e-05,7.963651530029224480e-05,6.786870327906910361e-06,6.227574448328726184e-03,1.948847805536904078e-06,1.948847805543998826e-06,1.948847804992136532e-06,1.948847804990913417e-06
