time_s,contact_force_N,impact_w_m,ball_travel_m,indentation_m,energy_J,S1_mean_exx_plus_eyy,S2_mean_exx_plus_eyy,S3_mean_exx_plus_eyy,S4_mean_exx_plus_eyy
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.227579619865871753e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.999687519530029071e-06,1.957471027329047430e+01,2.899771155201309873e-08,8.844322827129690140e-06,8.815325115577676317e-06,6.227530212411162662e-03,-4.418442347629698879e-10,6.332624125291904664e-10,-9.637688010375114482e-10,6.261991315634112903e-10
9.999375039060058143e-06,5.353542783472705935e+01,3.185919568226004382e-07,1.755852695496907075e-05,1.723993499814647148e-05,6.227524436333091960e-03,-9.602055115333101169e-09,1.905352424659327432e-08,-1.236927563396265782e-08,5.993873171830754554e-09
1.499906255859008806e-05,9.164958186083099179e+01,1.262055962271036226e-06,2.593352997439558012e-05,2.467147401212454284e-05,6.227542874669638774e-03,-4.027725201574954355e-08,1.164256494817033328e-07,-4.754987549971486486e-08,1.626419677948534091e-08
1.999875007812011629e-05,1.257982964884430430e+02,3.262152677654320717e-06,3.373347344303353335e-05,3.047132076537921390e-05,6.227573541619833321e-03,-8.952422249062703906e-08,3.725397628587668513e-07,-1.054143947489861241e-07,2.566707794976928445e-08
2.499843759765014620e-05,1.491268274846655117e+02,6.616137183046840024e-06,4.074684472007231850e-05,3.413070753702547594e-05,6.227597097909536028e-03,-1.361774234594749429e-07,8.299948906470298202e-07,-1.511997921245879757e-07,2.603026328664487292e-08
2.999812511718017612e-05,1.574827015371261894e+02,1.143484307424082201e-05,4.682887267114157342e-05,3.539402959690074972e-05,6.227599515846580190e-03,-1.411959266948527436e-07,1.424369944563368493e-06,-1.370293404925149750e-07,1.578713669188176153e-08
3.499781263671020604e-05,1.504001323766563303e+02,1.760243758620341241e-05,5.192715084015682496e-05,3.432471325395340916e-05,6.227582236468620462e-03,-5.440040797110522639e-08,2.003322611893694209e-06,-3.328845071178041158e-08,8.150388397448407466e-10
3.999750015624023257e-05,1.308932177688449485e+02,2.479608227986482768e-05,5.608468735503433384e-05,3.128860507516950955e-05,6.227559089401107743e-03,1.469266260043563394e-07,2.353666866526778147e-06,1.549582559451609487e-07,4.248124495801391059e-09
4.499718767577026588e-05,1.041822059339892945e+02,3.254936095469537598e-05,5.942159694298330416e-05,2.687223598828792818e-05,6.227544592309832046e-03,4.059648595737306868e-07,2.274059487310800172e-06,3.708027358509574428e-07,4.771900841805809529e-08
4.999687519530029241e-05,7.591901181590138492e+01,4.034234768532920449e-05,6.210316167077892171e-05,2.176081398544971721e-05,6.227544460509527001e-03,6.189763528540846054e-07,1.679906337064334071e-06,5.338019865144446994e-07,1.283035272195338802e-07
5.499656271483031894e-05,5.061737709155332254e+01,4.769742257640386258e-05,6.430506033344046170e-05,1.660763775703659912e-05,6.227554618479015994e-03,6.946991936113547427e-07,6.365220309839162674e-07,5.685389070788320195e-07,2.251423959304126691e-07
5.999625023436035224e-05,3.083815549067343653e+01,5.425004912257012425e-05,6.618535906419027715e-05,1.193530994162015290e-05,6.227566487687778533e-03,5.471713383807731050e-07,-6.574878467467732719e-07,4.330325812460768877e-07,3.111845534621715203e-07
6.499593775389037877e-05,1.720648976173562161e+01,5.977920870365695461e-05,6.786836001412262047e-05,8.089151310465665862e-06,6.227573241211332294e-03,1.272635451004808032e-07,-1.897841968941503006e-06,1.115883139402982398e-07,3.440878570951058266e-07
6.999562527342041208e-05,8.974253403510378035e+00,6.419904138746096304e-05,6.944035714945149184e-05,5.241315761990528806e-06,6.227573273369170319e-03,-5.114408121213486001e-07,-2.707931439303988433e-06,-3.495298589115170310e-07,2.753764535737411210e-07
7.499531279295044539e-05,4.740799696466480029e+00,6.752884509858191541e-05,7.095396550362354014e-05,3.425120405041624729e-06,6.227569520470560387e-03,-1.218016257931918379e-06,-2.756238651644485869e-06,-8.184760644095983163e-07,8.541791986306511203e-08
7.999500031248046514e-05,3.087038575973282128e+00,6.986343726720930342e-05,7.243661317504060458e-05,2.573175907831301156e-06,6.227566011917972169e-03,-1.801184012633020578e-06,-1.904630116891858698e-06,-1.103699811366630978e-06,-2.043994948358480573e-07
8.499468783201049845e-05,3.054317301506006110e+00,7.134426501120044359e-05,7.389922560983808121e-05,2.554960598637637617e-06,6.227564822846034034e-03,-2.047309286052646364e-06,-2.825271985646889432e-07,-1.039446971658683291e-06,-5.187333649727530850e-07
8.999437535154053175e-05,4.284051787730732030e+00,7.214075348318542869e-05,7.534218768482948145e-05,3.201434201644052764e-06,6.227564944385421096e-03,-1.787849456450795908e-06,1.722220180443045814e-06,-5.906819465651755980e-07,-7.430449964803207061e-07
9.499406287107055151e-05,6.725011535941629148e+00,7.243358960799844070e-05,7.675776659631532758e-05,4.324176988316886876e-06,6.227564214591643603e-03,-9.706912941371217707e-07,3.563510840539926112e-06,1.173172872639492834e-07,-7.819554014097951638e-07
9.999375039060058481e-05,1.023107079264835484e+01,7.241075135760739051e-05,7.813065657105045675e-05,5.719905213443066236e-06,6.227562045721820282e-03,3.137418124742881687e-07,4.677420773391186248e-06,8.404150945273588437e-07,-5.989818411163960800e-07
1.049934379101306181e-04,1.440002580885338546e+01,7.225524617695653783e-05,7.943898088789433994e-05,7.183734710937802114e-06,6.227559648236833702e-03,1.865312139475685916e-06,4.689975885198567043e-06,1.340640720626292598e-06,-2.222641543308055019e-07
1.099931254296606379e-04,1.862499654452079056e+01,7.212895923585612215e-05,8.065679653777578268e-05,8.527837301919660522e-06,6.227558829918346944e-03,3.403044222222208056e-06,3.539428005299290826e-06,1.463243864178625385e-06,2.789824569836721625e-07
1.149928129491906712e-04,2.224932880234142019e+01,7.215676934524280467e-05,8.175783371930066550e-05,9.601064374057860832e-06,6.227560588382515493e-03,4.601775768426639389e-06,1.475824479663861104e-06,1.170536074680540413e-06,8.039220058066228405e-07
1.199925004687207045e-04,2.473660009342714261e+01,7.241564740353681657e-05,8.271954287313097558e-05,1.030389546959415900e-05,6.227564222448348473e-03,5.154819467088810310e-06,-1.025405849582983024e-06,5.241491495722114946e-07,1.226891166777977307e-06
1.249921879882507378e-04,2.579968271724363404e+01,7.292937076341303275e-05,8.352640527966243629e-05,1.059703451624940355e-05,6.227567932956903397e-03,4.850474897389895484e-06,-3.389571052728135926e-06,-3.224171990761498519e-07,1.407309268621468297e-06
1.299918755077807575e-04,2.544247815811831614e+01,7.367272431580497482e-05,8.417171891772644754e-05,1.049899460192147273e-05,6.227569913053071157e-03,3.615866060768627865e-06,-5.101232074102818423e-06,-1.125760990892930733e-06,1.247371382232047921e-06
1.349915630273107773e-04,2.388618828854487219e+01,7.459125055147574376e-05,8.465761554086007632e-05,1.006636498938433255e-05,6.227568936186845226e-03,1.526272317351318306e-06,-5.865489958042562765e-06,-1.631318318557269447e-06,7.334260154975900017e-07
1.399912505468408242e-04,2.146738723060859400e+01,7.561894583409238286e-05,8.499372182242792410e-05,9.374775988335541242e-06,6.227565129912541672e-03,-1.184745487766803897e-06,-5.610957111691148498e-06,-1.688884791024735514e-06,-5.466104534376717684e-08
1.449909380663708439e-04,1.855405632607225641e+01,7.668891255442304028e-05,8.519508179567163565e-05,8.506169241248595376e-06,6.227560148456104221e-03,-4.130300286849461872e-06,-4.469295361064059551e-06,-1.302986798719872789e-06,-9.515600698277055787e-07
1.499906255859008908e-04,1.546949518294409565e+01,7.774472452147933072e-05,8.527987968832747971e-05,7.535155166848148990e-06,6.227556424285650427e-03,-6.878661821601942471e-06,-2.739413645363909737e-06,-6.001983339260073106e-07,-1.740347253542039548e-06
1.549903131054309105e-04,1.244584243400351831e+01,7.874927740258798911e-05,8.526742671186820068e-05,6.518149309280211567e-06,6.227555665244152369e-03,-9.071854793769282242e-06,-7.999566370860484901e-07,2.228784436343504499e-07,-2.223753837579477195e-06
1.599900006249609303e-04,9.611505897443045399e+00,7.969011821319913521e-05,8.517670681206555383e-05,5.486588598866418620e-06,6.227557884973058261e-03,-1.048502083461545283e-05,1.052139314105957624e-06,9.775713277139713050e-07,-2.273467880302859040e-06
1.649896881444909771e-04,7.032503408200439843e+00,8.057053939475722207e-05,8.502554313577480609e-05,4.455003741017584014e-06,6.227561863854649653e-03,-1.102423992918248027e-05,2.664342002724801597e-06,1.542299909867919536e-06,-1.828032029648349663e-06
1.699893756640209969e-04,4.751195179315399031e+00,8.140003746669601892e-05,8.483016304425748352e-05,3.430125577561464597e-06,6.227566263414864058e-03,-1.074925492084231211e-05,3.978432407259520122e-06,1.818908603136734452e-06,-9.252398005124968689e-07
1.749890631835510166e-04,2.823741785648065328e+00,8.218020930175335391e-05,8.460490974894404334e-05,2.424700447190689437e-06,6.227570230916790010e-03,-9.798588455267422519e-06,4.982137162931964979e-06,1.751905932814214691e-06,2.819350021530117609e-07
1.799887507030810635e-04,1.322189073167898465e+00,8.289981069314505447e-05,8.436188848797191667e-05,1.462077794826862199e-06,6.227572948925822263e-03,-8.275845477996234556e-06,5.676004840996510689e-06,1.342159872564790301e-06,1.580819202988867933e-06
1.849884382226110833e-04,3.243006427168705907e-01,8.353762647703846865e-05,8.411051920794133604e-05,5.728927309028673939e-07,6.227572967544821834e-03,-6.228592123574588481e-06,6.062410219898069734e-06,6.703521089304664214e-07,2.745911338586771578e-06
1.899881257421411030e-04,0.000000000000000000e+00,8.407056041194464660e-05,8.385701515335664458e-05,0.000000000000000000e+00,6.227569310305498818e-03,-3.668483009990791585e-06,6.137919821434181398e-06,-1.535106812473204766e-07,3.557550707819470978e-06
1.949878132616711499e-04,0.000000000000000000e+00,8.448272701137941052e-05,8.360364184550639647e-05,0.000000000000000000e+00,6.227562948647058332e-03,-5.338049420018789400e-07,5.901923143179716645e-06,-9.917763158343987403e-07,3.852188920141109528e-06
1.999875007812011696e-04,0.000000000000000000e+00,8.476157445497972990e-05,8.335051375700276721e-05,0.000000000000000000e+00,6.227556919912535446e-03,3.302965095882182787e-06,5.354456901008121755e-06,-1.706834949600375203e-06,3.565829733549738768e-06
