time_s,contact_force_N,impact_w_m,ball_travel_m,indentation_m,energy_J,S1_mean_exx_plus_eyy,S2_mean_exx_plus_eyy,S3_mean_exx_plus_eyy,S4_mean_exx_plus_eyy
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.227579619865871753e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.999687519530029071e-06,1.963102837710083648e+01,1.208567932349131249e-08,8.844310990143136307e-06,8.832225310819644584e-06,6.227529190681115739e-03,-9.844901422438560197e-10,-9.844901422441368475e-10,-9.844901422787324359e-10,-9.844901422784851089e-10
9.999375039060058143e-06,5.438614002874167141e+01,1.356974342825204149e-07,1.755778784761029266e-05,1.742209041332777155e-05,6.227517676670069925e-03,-1.035855460779963881e-08,-1.035855460780247438e-08,-1.035855460813615242e-08,-1.035855460813368081e-08
1.499906255859008806e-05,9.559387127887241320e+01,5.511611672940570877e-07,2.592550411497426206e-05,2.537434294768020423e-05,6.227526792866974921e-03,-3.755981444399602342e-08,-3.755981444400565842e-08,-3.755981444503887980e-08,-3.755981444503051535e-08
1.999875007812011629e-05,1.368055035239256938e+02,1.467375487371308157e-06,3.369120502245666685e-05,3.222382953508535699e-05,6.227552946881380509e-03,-8.415840803868788836e-08,-8.415840803870763482e-08,-8.415840804049100975e-08,-8.415840804047391027e-08
2.499843759765014620e-05,1.718514485942548333e+02,3.083042343154653744e-06,4.059849898208267642e-05,3.751545663892802098e-05,6.227586287687925798e-03,-1.372698993936537069e-07,-1.372698993936829295e-07,-1.372698993955051092e-07,-1.372698993954812864e-07
2.999812511718017612e-05,1.954628112897657388e+02,5.551885248241408632e-06,4.642937321873132967e-05,4.087748797048992443e-05,6.227613071297181599e-03,-1.682518540717830676e-07,-1.682518540718165254e-07,-1.682518540723372389e-07,-1.682518540723145808e-07
3.499781263671020604e-05,2.041625479731297048e+02,8.955318339886614981e-06,5.103690991072095187e-05,4.208159157083433689e-05,6.227621800253765189e-03,-1.378142440141975204e-07,-1.378142440142269548e-07,-1.378142440122400272e-07,-1.378142440122228748e-07
3.999750015624023257e-05,1.969146876955775269e+02,1.328718474116382045e-05,5.436684528308679225e-05,4.107966054192297518e-05,6.227608939588775636e-03,-6.483980023603182479e-09,-6.483980023625628852e-09,-6.483980019035980827e-09,-6.483980019028781047e-09
4.499718767577026588e-05,1.752662327041471713e+02,1.845322684997834770e-05,5.646402071176706582e-05,3.801079386178872152e-05,6.227580591292302369e-03,2.527347404547782919e-07,2.527347404547520339e-07,2.527347404604470599e-07,2.527347404604568008e-07
4.999687519530029241e-05,1.429270707787864012e+02,2.428479171703814391e-05,5.746286033092631851e-05,3.317806861388817121e-05,6.227549113099555521e-03,6.437616801168511547e-07,6.437616801167969445e-07,6.437616801210414266e-07,6.437616801210795431e-07
5.499656271483031894e-05,1.049332407262799052e+02,3.056321702362072555e-05,5.756444377496164962e-05,2.700122675134092407e-05,6.227526832415335167e-03,1.142742335939561159e-06,1.142742335939441728e-06,1.142742335939988064e-06,1.142742335940092249e-06
5.999625023436035224e-05,6.667183292766353020e+01,3.704947163858940678e-05,5.700529734048375791e-05,1.995582570189435113e-05,6.227520584626987724e-03,1.701196407995462874e-06,1.701196407995259587e-06,1.701196407991678331e-06,1.701196407991869761e-06
6.499593775389037877e-05,3.309344660173425723e+01,4.351352649329695923e-05,5.602387588719429177e-05,1.251034939389733254e-05,6.227529991090814329e-03,2.256218518849487795e-06,2.256218518849169310e-06,2.256218518843402710e-06,2.256218518843700865e-06
6.999562527342041208e-05,8.537405879681484677e+00,4.975967874820272569e-05,5.482949311881617276e-05,5.069814370613447065e-06,6.227550439228809673e-03,2.744342528501753764e-06,2.744342528501368364e-06,2.744342528496818950e-06,2.744342528497222138e-06
7.499531279295044539e-05,0.000000000000000000e+00,5.564866877522177228e-05,5.357366503721352108e-05,0.000000000000000000e+00,6.227578211039418686e-03,3.114117524300108015e-06,3.114117524299661629e-06,3.114117524299302487e-06,3.114117524299784449e-06
7.999500031248046514e-05,0.000000000000000000e+00,6.112496864892863848e-05,5.231508708220491451e-05,0.000000000000000000e+00,6.227578178276625340e-03,3.332558512181466148e-06,3.332558512181025691e-06,3.332558512185315066e-06,3.332558512185817357e-06
8.499468783201049845e-05,0.000000000000000000e+00,6.618269393361866763e-05,5.105675434654294032e-05,0.000000000000000000e+00,6.227578314463961054e-03,3.389144458829803024e-06,3.389144458829414236e-06,3.389144458835733102e-06,3.389144458836216757e-06
8.999437535154053175e-05,0.000000000000000000e+00,7.081969056229399416e-05,4.979866683022759176e-05,0.000000000000000000e+00,6.227579136271707040e-03,3.292403635042591965e-06,3.292403635042348019e-06,3.292403635046312134e-06,3.292403635046701769e-06
9.499406287107055151e-05,0.000000000000000000e+00,7.503629900545680557e-05,4.854082453325886881e-05,0.000000000000000000e+00,6.227580050528792877e-03,3.056387448250565337e-06,3.056387448250480634e-06,3.056387448248471471e-06,3.056387448248739134e-06
