time_s,contact_force_N,impact_w_m,ball_travel_m,indentation_m,energy_J,S1_mean_exx_plus_eyy,S2_mean_exx_plus_eyy,S3_mean_exx_plus_eyy,S4_mean_exx_plus_eyy
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.227579619865871753e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.999687519530029071e-06,1.958413585771874565e+01,2.616612717263877946e-08,8.844320843570655072e-06,8.818154716398015879e-06,6.227530041734186637e-03,-4.339643369863729064e-10,-4.339643369861760374e-10,-4.339642714992448167e-10,-4.339642714995119961e-10
9.999375039060058143e-06,5.367719843815089575e+01,2.880457953322505080e-07,1.755840349507298626e-05,1.727035769974073691e-05,6.227523313273388567e-03,-1.907867005155638319e-09,-1.907867005156472117e-09,-1.907867078654037111e-09,-1.907867078653070964e-09
1.499906255859008806e-05,9.230407072488193876e+01,1.143402274121259673e-06,2.593219304127569497e-05,2.478879076715443508e-05,6.227540245131283486e-03,7.483286282152570958e-09,7.483286282152465079e-09,7.483286306326308937e-09,7.483286306328003003e-09
1.999875007812011629e-05,1.276074890845148104e+02,2.963680331813866534e-06,3.372645806646646684e-05,3.076277773465260030e-05,6.227570188777399943e-03,5.951654260108469777e-08,5.951654260107839796e-08,5.951654267663246631e-08,5.951654267663993079e-08
2.499843759765014620e-05,1.528069096671387399e+02,6.032438673696742239e-06,4.072236951440036802e-05,3.468993084070362239e-05,6.227595138466223562e-03,1.899762970048909522e-07,1.899762970048456359e-07,1.899762968249138151e-07,1.899762968249631547e-07
2.999812511718017612e-05,1.635357134023700780e+02,1.046822778631257357e-05,4.676348223797725182e-05,3.629525445166467825e-05,6.227600764346504295e-03,3.992019096422999662e-07,3.992019096421972635e-07,3.992019098243038414e-07,3.992019098244086618e-07
3.499781263671020604e-05,1.588502918627546308e+02,1.618404973419247189e-05,5.178269331087011315e-05,3.559864357667764126e-05,6.227586344283434459e-03,6.519182356793810198e-07,6.519182356791597325e-07,6.519182355366834968e-07,6.519182355368994902e-07
3.999750015624023257e-05,1.411664837136922870e+02,2.290318383348972529e-05,5.580822993391409048e-05,3.290504610042436519e-05,6.227563681209523881e-03,8.622243906893113268e-07,8.622243906888594348e-07,8.622243906595328248e-07,8.622243906599724349e-07
4.499718767577026588e-05,1.152466789313275513e+02,3.020629804475392460e-05,5.894896426784342812e-05,2.874266622308950352e-05,6.227547333354440350e-03,9.352632122469318390e-07,9.352632122461716269e-07,9.352632124370845947e-07,9.352632124378257485e-07
4.999687519530029241e-05,8.658557884389790615e+01,3.761118288621209107e-05,6.136527749999820622e-05,2.375409461378611515e-05,6.227544794080469570e-03,8.118502243011939831e-07,8.118502242999679029e-07,8.118502239994994820e-07,8.118502240007141272e-07
5.499656271483031894e-05,5.987122334180001815e+01,4.466062881445971306e-05,6.323525975879428136e-05,1.857463094433456829e-05,6.227553250154488525e-03,4.772803401234320883e-07,4.772803401215338875e-07,4.772803403738489088e-07,4.772803403757462626e-07
5.999625023436035224e-05,3.805656230696923359e+01,5.099385919011043379e-05,6.472566993124806423e-05,1.373181074113763043e-05,6.227564279218588024e-03,-3.302624586764523867e-08,-3.302624587032863905e-08,-3.302624591687902873e-08,-3.302624591417191143e-08
